# chembl_20 target list, 02/02/15
Q25634	CHEMBL2363051
O60674	CHEMBL2363062
Q9NR82	CHEMBL2363063
O43525	CHEMBL2363063
P56181	CHEMBL2363065
P03897	CHEMBL2363065
O75306	CHEMBL2363065
O95263	CHEMBL2363066
O00408	CHEMBL2363066
O60658	CHEMBL2363067
P10826	CHEMBL2363069
P10276	CHEMBL2363069
P25791	CHEMBL3217402
E0VY79	CHEMBL2366428
P51531	CHEMBL2362979
Q06710	CHEMBL2362980
Q13148	CHEMBL2362981
P06239	CHEMBL2363074
Q9H8P0	CHEMBL2363075
P31213	CHEMBL2363075
P48374	CHEMBL2363077
E1BKU0	CHEMBL2412950
P34707	CHEMBL2146298
Q9H0H5	CHEMBL2146306
Q77YF9	CHEMBL2146310
Q9ULH1	CHEMBL2146311
P38889	CHEMBL2146314
Q57TT1	CHEMBL2146316
O43772	CHEMBL2216740
Q8WNY2	CHEMBL2216746
Q9Y210	CHEMBL2417347
Q63199	CHEMBL2417350
P24095	CHEMBL3120043
P22626	CHEMBL3137265
P08887	CHEMBL3137266
P05556	CHEMBL3137268
P54287	CHEMBL3137270
P12391	CHEMBL3137275
P43143	CHEMBL3137276
P58682	CHEMBL3137280
P21583	CHEMBL2346489
Q9UP38	CHEMBL2346493
P08506	CHEMBL2354204
A2PZ98	CHEMBL2362988
Q95US7	CHEMBL2363079
P0A7Q1	CHEMBL2363135
P0A7N9	CHEMBL2363135
P0A7N1	CHEMBL2363135
P0A7L8	CHEMBL2363135
P0A7L3	CHEMBL2363135
P0AG44	CHEMBL2363135
P0A7V8	CHEMBL2363135
P0A7U7	CHEMBL2363135
P0AG63	CHEMBL2363135
P0A7S3	CHEMBL2363135
Q9UK80	CHEMBL2157852
O14686	CHEMBL2189114
Q86TX2	CHEMBL2189136
P97449	CHEMBL2189140
P52633	CHEMBL2189147
A4GTP0	CHEMBL2189154
Q007T0	CHEMBL2366485
Q27552	CHEMBL2366489
P25462	CHEMBL2285357
P00825	CHEMBL2366567
O60928	CHEMBL2146349
P70424	CHEMBL2311234
